"Site";"Date";"pH Mean";"pH Se";"Pb..ppm. Mean";"Pb..ppm. Se";"Zn..ppm. Mean";"Zn..ppm. Se";"NO3...mg.L. Mean";"NO3...mg.L. Se"
7;189;8.30333333333333;0.00333333333333326;1.32966666666667;0.00088191710368817;0.0713333333333333;0.00128365796759798;150.06852;0.442680000000005
7;220;8.11333333333333;0.0133333333333336;1.23166666666667;0.00375647588986152;0.0531;4e-04;138.7064;1.4756
7;251;7.25666666666667;0.0120185042515467;1.167;0.004;0.0450666666666667;0.000145296631451356;134.2796;1.4756
7;294;8.16666666666667;0.0202758751009936;1.11666666666667;0.00841295297608264;0.0334666666666667;0.000433333333333334;119.5236;0
7;312;8.29666666666667;0.00881917103688234;0.986666666666667;0.00133333333333333;0.0325;0.000152752523165195;111.55536;0.676204869547682
7;342;8.79333333333333;0.0185592145427669;0.825666666666667;0.00260341655863555;0.0229;0.000152752523165195;106.981;2.66017573103733
7;35;8.34666666666667;0.00881917103688178;0.0387;0.000493288286231625;0.0375666666666667;0.00017638342073764;87.5757575733333;2.83053662019492
7;67;9.15666666666667;0.0185592145427669;0.664733333333333;0.0231045690527028;0.0420666666666667;0.00231828480658535;104.848484833333;4.40176939723633
7;8;9.02;0.157162336455017;0.223;0.00871779788708135;0.426666666666667;0.00666666666666667;72.87878788;0.151515149999999
7;98;9.54666666666667;0.0338296385503073;0.897333333333333;0.000333333333333334;0.165566666666667;0.000272845092395745;88.6363636366667;0.45454545666667
