Site;Date;pH;Pb (ppm);Zn (ppm);NO3- (mg/L)
6;189;8.34;1.287;0.0658;129.70524
6;189;8.37;1.291;0.0658;126.60648
7;189;8.31;1.328;0.0739;149.18316
7;189;8.3;1.33;0.0701;150.5112
7;189;8.3;1.331;0.07;150.5112
1;220;8.17;1.28;0.0605;161.5782
1;220;8.15;1.278;0.0601;154.05264
1;220;8.16;1.285;0.06;154.938
2;220;8.13;1.27;0.0594;141.6576
2;220;8.19;1.269;0.0583;137.2308
2;220;8.12;1.263;0.0555;141.6576
3;220;8.07;1.267;0.059;143.871
3;220;8.11;1.255;0.059;142.98564
3;220;8.11;1.255;0.0588;146.0844
4;220;7.74;1.25;0.0529;135.0174
4;220;7.71;1.249;0.0525;133.68936
4;220;7.8;1.247;0.0522;132.804
5;220;8.12;1.651;0.0575;137.2308
5;220;7.59;1.652;0.0566;132.804
5;220;7.76;1.654;0.0571;137.2308
6;220;8.03;1.199;0.0518;128.3772
6;220;8;1.201;0.0522;128.3772
6;220;7.88;1.197;0.0515;129.26256
7;220;8.1;1.238;0.0535;141.6576
7;220;8.14;1.225;0.0523;137.2308
7;220;8.1;1.232;0.0535;137.2308
1;251;7.21;1.244;0.0469;132.804
1;251;7.33;1.241;0.0465;137.2308
1;251;7.36;1.195;0.047;139.4442
2;251;7.26;1.188;0.0447;132.804
2;251;7.19;1.202;0.0447;132.804
2;251;7.23;1.185;0.0431;141.6576
3;251;7.2;1.181;0.0409;166.005
3;251;7.17;1.177;0.0411;162.02088
3;251;7.15;1.178;0.0413;163.7916
4;251;7.3;1.169;0.042;146.0844
4;251;7.28;1.169;0.0425;146.0844
4;251;7.32;1.169;0.0419;142.10028
5;251;7.19;1.167;0.0437;132.804
5;251;7.19;1.171;0.044;137.2308
5;251;7.16;1.158;0.0436;132.804
6;251;7.22;1.093;0.0393;123.9504
6;251;7.27;1.097;0.0388;121.737
6;251;7.24;1.094;0.075;119.5236
7;251;7.24;1.159;0.0451;137.2308
7;251;7.25;1.171;0.0448;132.804
7;251;7.28;1.171;0.0453;132.804
1;294;8.1;1.135;0.0381;126.1638
1;294;8.11;1.133;0.0377;128.3772
1;294;8.1;1.141;0.038;125.27844
2;294;8.09;1.127;0.0367;123.9504
2;294;8.06;1.096;0.0365;119.5236
2;294;8.06;1.111;0.0358;119.5236
3;294;8.03;1.099;0.0346;119.5236
3;294;8;1.093;0.034;119.5236
3;294;8.01;1.108;0.0351;119.5236
4;294;7.97;1.097;0.0301;119.08092
4;294;8.02;1.097;0.0304;119.5236
4;294;7.94;1.097;0.0304;116.42484
5;294;8.04;1.093;0.0308;118.63824
5;294;8.04;1.089;0.0303;119.5236
5;294;8.01;1.088;0.0305;117.75288
6;294;8.05;1.093;0.027;101.8164
6;294;8.08;1.113;0.0289;101.8164
6;294;8.1;1.109;0.0276;101.37372
7;294;8.2;1.133;0.0335;119.5236
7;294;8.17;1.105;0.0342;119.5236
7;294;8.13;1.112;0.0327;119.5236
1;312;8.5;0.985;0.0329;123.9504
1;312;8.56;0.991;0.033;123.9504
1;312;8.53;0.983;0.0333;123.9504
2;312;8.47;0.976;0.0317;119.5236
2;312;8.39;0.977;0.0312;119.5236
2;312;8.41;0.908;0.0314;115.0968
3;312;8.2;0.977;0.0306;116.42484
3;312;8.19;0.9702;0.0306;115.0968
3;312;8.17;0.973;0.03;115.53948
4;312;8.22;0.981;0.0309;115.0968
4;312;8.24;0.976;0.0311;114.65412
4;312;8.25;0.84;0.0313;114.21144
5;312;8.3;0.982;0.0317;119.5236
5;312;8.27;0.969;0.032;119.5236
5;312;8.29;0.966;0.0318;116.42484
6;312;8.23;0.926;0.0249;97.3896
6;312;8.26;0.931;0.0256;98.71764
6;312;8.26;0.925;0.0251;97.3896
7;312;8.28;0.984;0.0327;110.67
7;312;8.31;0.988;0.0326;111.11268
7;312;8.3;0.988;0.0322;112.8834
1;342;8.98;0.942;0.0277;119.5236
1;342;9.2;0.936;0.0275;116.42484
1;342;9;0.941;0.0269;113.76876
2;342;8.99;0.837;0.0245;110.67
2;342;9.13;0.843;0.0238;109.78464
2;342;9;0.844;0.0241;108.89928
3;342;8.32;0.852;0.0222;110.22732
3;342;8.3;0.833;0.0217;110.22732
3;342;8.17;0.871;0.022;115.141068
4;342;8.86;0.8601;0.0215;106.2432
4;342;8.97;0.866;0.0213;110.67
4;342;8.55;0.865;0.0213;108.89928
5;342;8.77;0.839;0.0223;106.2432
5;342;8.94;0.836;0.0219;101.8164
5;342;8.91;0.836;0.0221;106.68588
6;342;8.87;0.875;0.0203;88.536
6;342;8.69;0.882;0.0208;92.9628
6;342;8.88;0.884;0.0204;88.536
7;342;8.78;0.826;0.0231;101.8164
7;342;8.77;0.821;0.0226;108.4566
7;342;8.83;0.83;0.023;110.67
